time,solve_time,solver_iterations,min_slack,solver_success,critical_constraint_name,nominal_cost,barrier_cost,total_cost
0.56,0.003967797001678264,8,0.00017726951055718754,True,cbf_obstacle_8,0.16958591921555916,0.0008821627080104294,0.17046808192356958
0.5700000000000001,0.004151543998887064,9,0.0001748931164655687,True,cbf_obstacle_8,0.17444142813385957,0.0008809358768884711,0.17532236401074805
0.58,0.00338765299966326,6,0.00017261739101681606,True,cbf_obstacle_8,0.17929658313421787,0.0008797695038747898,0.18017635263809265
0.59,0.003883867000695318,8,0.00017043687668771845,True,cbf_obstacle_8,0.18414869252732946,0.0008786528613404632,0.1850273453886699
0.6,0.004121505000512116,9,0.00016834141430133176,True,cbf_obstacle_8,0.18900620785818464,0.0008775907636659577,0.1898837986218506
0.61,0.003774398999667028,8,0.0001663216577285631,True,cbf_obstacle_8,0.19387871376898327,0.0008765892588084804,0.19475530302779176
0.62,0.003474082001048373,7,0.00016437297897398118,True,cbf_obstacle_8,0.19876642218901688,0.0008756461428718482,0.19964206833188874
0.63,0.003719948999787448,8,0.00016249307271942737,True,cbf_obstacle_8,0.20366400522615005,0.0008747533092687469,0.2045387585354188
0.64,0.004019536001578672,9,0.00016067996622659564,True,cbf_obstacle_8,0.2085661495719732,0.0008738998113073251,0.20944004938328054
0.65,0.0035214620002079755,8,0.00015893043869208423,True,cbf_obstacle_8,0.2134693602600456,0.0008730796606615216,0.21434243992070712
0.66,0.003343254000355955,7,0.00015723945453594013,True,cbf_obstacle_8,0.21837512566794567,0.0008722863522273609,0.21924741202017303
0.67,0.0037418889987748116,8,0.00015559961087441287,True,cbf_obstacle_8,0.22328997172645118,0.0008715130033213891,0.22416148472977257
0.68,0.004081335999217117,9,0.00015400005704646613,True,cbf_obstacle_8,0.2282231252663958,0.0008707295310803468,0.22909385479747613
0.6900000000000001,0.0037645390002580825,8,0.00015240325879717354,True,cbf_obstacle_8,0.23322016320211938,0.0008698081761542638,0.23408997137827364
0.7000000000000001,0.004768668000906473,10,0.00015084966443779102,True,cbf_obstacle_8,0.23822885549819134,0.000868870848856943,0.2390977263470483
0.71,0.004153304002102232,8,0.00014936100963958143,True,cbf_obstacle_8,0.2432145806756009,0.0008679975586743849,0.2440825782342753
0.72,0.0034762420000333805,6,0.000147933356922203,True,cbf_obstacle_8,0.24817649759371396,0.0008671869234068663,0.24904368451712083
0.73,0.003993367001385195,8,0.00014656320882933116,True,cbf_obstacle_8,0.2531142275961689,0.0008664365141233047,0.25398066411029224
0.74,0.004616039997927146,9,0.00014524700669860113,True,cbf_obstacle_8,0.2580277560806016,0.0008657349034135512,0.25889349098401515
0.75,0.004559850000077859,10,0.00014398176232599535,True,cbf_obstacle_8,0.2629169771448116,0.0008650865490026191,0.26378206369381424
0.76,0.0037132600009499583,7,0.00014276478362451606,True,cbf_obstacle_8,0.2677801973727508,0.0008644925004490374,0.2686446898731998
0.77,0.003549160999682499,8,0.00014159371021837952,True,cbf_obstacle_8,0.27261690688252277,0.0008639580287423867,0.27348086491126516
0.78,0.0031347459989774507,6,0.00014046641928011638,True,cbf_obstacle_8,0.2774255203985957,0.0008634839553929219,0.2782890043539886
0.79,0.0036731899999722373,8,0.00013938131235657902,True,cbf_obstacle_8,0.28220292083751913,0.0008630715716899047,0.28306599240920904
0.8,0.004362322000815766,9,0.00013833663599771562,True,cbf_obstacle_8,0.28694781940687236,0.0008627217676704666,0.28781054117454286
0.81,0.003212285002518911,8,0.00013733126310366828,True,cbf_obstacle_8,0.2916559008803409,0.0008624333191130913,0.29251833419945394
0.8200000000000001,0.00264083100046264,6,0.0001363631752101524,True,cbf_obstacle_8,0.2963271630361258,0.0008622081585948274,0.2971893711947206
0.8300000000000001,0.003300943000795087,8,0.00013543159823548034,True,cbf_obstacle_8,0.30095719142887456,0.0008620452805516469,0.30181923670942623
0.84,0.0037008590006735176,8,0.00013453501177840277,True,cbf_obstacle_8,0.3055449061902809,0.0008619449354968955,0.3064068511257778
0.85,0.004910556999675464,12,0.000133671772249766,True,cbf_obstacle_8,0.31008994698677717,0.0008619079350884128,0.31095185492186556
0.86,0.004816287000721786,11,0.0001328406283539474,True,cbf_obstacle_8,0.31459118929077184,0.0008619332646055169,0.3154531225553774
0.87,0.004477431000850629,10,0.00013203996062627343,True,cbf_obstacle_8,0.3190489587229849,0.0008620220477711894,0.3199109807707561
0.88,0.0040926850015239324,9,0.00013126836978161194,True,cbf_obstacle_8,0.3234636834126757,0.0008621737678166673,0.32432585718049234
